<<<<<<< Updated upstream
=======
01/12/22 12:54 [http-nio-8080-exec-3]  INFO com.dh.consultorioOdontologico.service.PacienteService:52 - Paciente Joana salvo com sucesso.
01/12/22 12:54 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:37 - 1
01/12/22 12:54 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:39 - 2
01/12/22 12:56 [http-nio-8080-exec-1]  INFO com.dh.consultorioOdontologico.service.PacienteService:47 - Iniciando operação para salvar o paciente.
01/12/22 12:56 [http-nio-8080-exec-1]  INFO com.dh.consultorioOdontologico.service.PacienteService:52 - Paciente Felipe salvo com sucesso.
01/12/22 12:56 [http-nio-8080-exec-3]  INFO com.dh.consultorioOdontologico.service.PacienteService:47 - Iniciando operação para salvar o paciente.
01/12/22 12:56 [http-nio-8080-exec-3]  INFO com.dh.consultorioOdontologico.service.PacienteService:52 - Paciente Joana salvo com sucesso.
01/12/22 12:56 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:37 - 1
01/12/22 12:56 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:39 - 2
01/12/22 13:06 [http-nio-8080-exec-2]  INFO com.dh.consultorioOdontologico.service.PacienteService:47 - Iniciando operação para salvar o paciente.
01/12/22 13:06 [http-nio-8080-exec-2]  INFO com.dh.consultorioOdontologico.service.PacienteService:52 - Paciente Felipe salvo com sucesso.
01/12/22 13:06 [http-nio-8080-exec-3]  INFO com.dh.consultorioOdontologico.service.PacienteService:47 - Iniciando operação para salvar o paciente.
01/12/22 13:06 [http-nio-8080-exec-3]  INFO com.dh.consultorioOdontologico.service.PacienteService:52 - Paciente Joana salvo com sucesso.
01/12/22 13:06 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:37 - 1
01/12/22 13:06 [http-nio-8080-exec-6]  INFO com.dh.consultorioOdontologico.service.ConsultaService:39 - 2
01/12/22 13:10 [http-nio-8080-exec-8]  INFO com.dh.consultorioOdontologico.service.ConsultaService:37 - 1
01/12/22 13:10 [http-nio-8080-exec-8]  INFO com.dh.consultorioOdontologico.service.ConsultaService:39 - 2
